links,titles,lyrics,album
/song:american-skin-41-shots,American Skin (41 Shots),"(41 shots) (41 shots) (41 shots) (41 shots) 41 shots, and we'll take that ride 'Cross the bloody river to the other side 41 shots, cut through the night You're kneeling over his body in the vestibule Praying for his life Is it a gun, is it a knife Is it a wallet, this is your life It ain't no secret (it ain't no secret) It ain't no secret (it ain't no secret) No secret my friend You can get killed just for living in your American skin (41 shots) (41 shots) (41 shots) (41 shots) 41 shots, Lena gets her son ready for school She says, ""On these streets, Charles You've got to understand the rules If an officer stops you, promise me you'll always be polite And that you'll never ever run away Promise Mama you'll keep your hands in sight"" Is it a gun (is it a gun), is it a knife (is it a knife) Is it a wallet (is it a wallet), this is your life (this is your life) It ain't no secret (it ain't no secret) It ain't no secret (it ain't no secret) No secret my friend You can get killed just for living in your American skin (41 shots) (41 shots) (41 shots) (41 shots) Is it a gun (is it a gun), is it a knife (is it a knife) Is it in your heart (is it in your heart), is it in your eyes (is it in your eyes) It ain't no secret (it ain't no secret) It ain't no secret (it ain't no secret) It ain't no secret (it ain't no secret) 41 shots, and we'll take that ride 'Cross this bloody river to the other side 41 shots, I got my boots caked with this mud We're baptized in these waters (baptized in these waters) And in each other's blood (and in each other's blood) Is it a gun (is it a gun), is it a knife (is it a knife) Is it a wallet (is it a wallet), this is your life (this is your life) It ain't no secret (it ain't no secret) It ain't no secret (it ain't no secret) No secret my friend You can get killed just for living in You can get killed just for living in You can get killed just for living in your American skin 41 shots 41 shots 41 shots 41 shots 41 shots 41 shots 41 shots 41 shots 41 shots (you can get killed just for living in) 41 shots (you can get killed just for living in) 41 shots (you can get killed just for living in) 41 shots (you can get killed just for living in) 41 shots (you can get killed just for living in) 41 shots (you can get killed just for living in) 41 shots (you can get killed just for living in) 41 shots (you can get killed just for living in) July 1, 2000 (41 shots) (41 shots) (41 shots) (41 shots) (41 shots) (41 shots) (41 shots) (41 shots)[spoken:] We need some quiet 41 shots, and we'll take that ride 'Cross this bloody river to the other side 41 shots, cut through the night You're kneeling over his body in the vestibule Praying for his life Well, is it a gun, is it a knife Is it a wallet, this is your life It ain't no secret (it ain't no secret) It ain't no secret (it ain't no secret) No secret my friend You can get killed just for living in your American skin (41 shots) (41 shots) (41 shots) (41 shots) 41 shots, Lena gets her son ready for school She says, ""On these streets, Charles You've got to understand the rules If an officer stops you, promise me you'll always be polite And that you'll never ever run away Promise Mama you'll keep your hands in sight"" Well, is it a gun, is it a knife Is it a wallet, this is your life It ain't no secret (it ain't no secret) It ain't no secret (it ain't no secret) No secret my friend You can get killed just for living in your American skin (41 shots) (41 shots) (41 shots) (41 shots) (41 shots) (41 shots) (41 shots) (41 shots) Is it a gun, is it a knife Is it in your heart, is it in your eyes It ain't no secret (it ain't no secret) It ain't no secret (it ain't no secret) It ain't no secret (it ain't no secret) 41 shots, and we'll take that ride 'Cross this bloody river to the other side 41 shots, got my boots caked in this mud We're baptized in these waters (baptized in these waters) And in each other's blood (and in each other's blood) Is it a gun, is it a knife Is it a wallet, this is your life It ain't no secret (it ain't no secret) It ain't no secret (it ain't no secret) It ain't no secret (it ain't no secret) No secret my friend You can get killed just for living in You can get killed just for living in You can get killed just for living in You can get killed just for living in You can get killed just for living in your American skin (41 shots) You can get killed just for living in (41 shots) You can get killed just for living in (41 shots) You can get killed just for living in (41 shots) You can get killed just for living in (41 shots) You can get killed just for living in (41 shots) You can get killed just for living in (41 shots) You can get killed just for living in …",High Hopes
/song:american-slang,American Slang,NA,NA
/song:amplifier-blues,Amplifier Blues,NA,NA
/song:angel-baby,Angel Baby,NA,NA
/song:angel-eyes,Angel Eyes (Frank Sinatra),NA,NA
/song:angel-eyes-steven-van-zandt,Angel Eyes (Little Steven & The Disciples Of Soul),NA,Men Without Women
/song:angel-in-the-alleyways,Angel In The Alleyways,"(There's angels all around) (There's angels all around) (There's angels all around) Do you walk the streets at night Try to stay beneath the light Do you sense it as you go Maybe you are not alone An angel walks, an angel prays Here by your side at night unseen in the alleyways Who guides the hand that comes to play Like BB King and Stevie Ray Who takes the pain we didn't choose Turns it into Chicago Blues An angel walks, an angel prays By your side at night down through the alleyways, oh-ho-hu A junkie cries (yeah yeah) and no one hears (yeah yeah) A spirit flies (yeah yeah) to dry his tears (yeah yeah) The bottle owns (yeah yeah) another man (yeah yeah) Until he takes (yeah yeah) the helping hand (yeah yeah) A spirit walks, an angel prays By your side at night unseen through the alleyways Who knows the spirit who walks beside To light and guard, to rule and guide They walk with Peter, they walk with Paul Wrestled with Jacob and with us all An angel walks, an angel prays By your side at night down through the alleyways Now there's angels all around, I know, don't you Angels all around, I know, don't you Times when you can't find the word It comes to you as if you heard Someone's voice from long ago Tells you what you need to know An angel walks, oh prays By your side at night, child, down in the alleyways Well now there's angels all around, I know, don't you There's angels all around, I know, don't you (Angels all around) (Angels all around) (There's angels all around) (There's angels all around) (There's angels all around) (There's angels all around)…",Stomping Ground
/song:angel-s-blues,Angel's Blues,NA,NA
/song:angelyne,Angelyne,NA,On The Line
/song:another-saturday-night,Another Saturday Night,NA,NA
